datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2023-06-05 10:29:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:30:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:31:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:32:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:33:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:34:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:35:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:36:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:37:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:38:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:39:00,729.05,NFO,15-JUN-2023,729.05,729.05,729.05,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:40:00,717.5,NFO,15-JUN-2023,729.05,717.5,729.05,2250,Options,Call,NIFTY,17950.0,50.0
2023-06-05 10:41:00,717.5,NFO,15-JUN-2023,717.5,717.5,717.5,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:42:00,717.5,NFO,15-JUN-2023,717.5,717.5,717.5,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:43:00,717.5,NFO,15-JUN-2023,717.5,717.5,717.5,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:44:00,717.5,NFO,15-JUN-2023,717.5,717.5,717.5,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:45:00,717.5,NFO,15-JUN-2023,717.5,717.5,717.5,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:46:00,717.5,NFO,15-JUN-2023,717.5,717.5,717.5,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:47:00,717.5,NFO,15-JUN-2023,717.5,717.5,717.5,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:48:00,717.5,NFO,15-JUN-2023,717.5,717.5,717.5,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:49:00,717.5,NFO,15-JUN-2023,717.5,717.5,717.5,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:50:00,728.15,NFO,15-JUN-2023,728.15,717.5,717.5,2250,Options,Call,NIFTY,17950.0,50.0
2023-06-05 10:51:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:52:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:53:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:54:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:55:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:56:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:57:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:58:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 10:59:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:00:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:01:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:02:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:03:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:04:00,728.15,NFO,15-JUN-2023,728.15,728.15,728.15,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:05:00,730.0,NFO,15-JUN-2023,730.0,728.15,728.15,2250,Options,Call,NIFTY,17950.0,50.0
2023-06-05 11:06:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:07:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:08:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:09:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:10:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:11:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:12:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:13:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:14:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:15:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:16:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:17:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:18:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:19:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:20:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:21:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:22:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:23:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:24:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:25:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:26:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:27:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:28:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:29:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:30:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:31:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:32:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:33:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:34:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:35:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:36:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:37:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:38:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:39:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:40:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:41:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:42:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:43:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:44:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:45:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:46:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:47:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:48:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:49:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:50:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:51:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:52:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:53:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:54:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:55:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:56:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:57:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:58:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 11:59:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:00:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:01:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:02:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:03:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:04:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:05:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:06:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:07:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:08:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:09:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:10:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:11:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:12:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:13:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:14:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:15:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:16:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:17:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:18:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:19:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:20:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:21:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:22:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:23:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:24:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:25:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:26:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:27:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:28:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:29:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:30:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:31:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:32:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:33:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:34:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:35:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:36:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:37:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:38:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:39:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:40:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:41:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:42:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:43:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
2023-06-05 12:44:00,730.0,NFO,15-JUN-2023,730.0,730.0,730.0,2250,Options,Call,NIFTY,17950.0,0.0
