datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2023-04-10 10:42:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:43:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:44:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:45:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:46:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:48:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:49:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:50:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:51:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:52:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:53:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:54:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:55:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:56:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:57:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:58:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 10:59:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:00:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:03:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:05:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:06:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:07:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:08:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:09:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:10:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:11:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:13:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:14:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:15:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:16:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:17:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:18:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:19:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:20:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:21:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:22:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:23:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:24:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:25:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:26:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:40:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:41:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:42:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:43:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:44:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:45:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:46:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:47:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:48:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:53:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:54:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:55:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:56:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:57:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:58:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 11:59:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:00:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:01:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:02:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:03:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:10:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:11:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:12:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:13:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:14:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:15:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:16:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:17:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:18:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:19:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:21:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:22:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:23:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:24:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:25:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:26:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:27:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:28:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:29:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:30:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:31:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:32:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:33:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:34:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:35:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:36:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:37:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:38:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:39:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:44:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:45:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:46:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:47:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:48:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:49:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:51:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:54:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:55:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:56:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:57:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 12:58:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:00:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:01:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:02:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:03:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:04:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:05:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:06:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:07:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:08:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:09:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:10:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:11:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:12:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:13:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:14:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
2023-04-10 13:15:00,2018.95,NFO,27-APR-2023,2018.95,2018.95,2018.95,0,Options,Call,NIFTY,15600.0,0.0
